id,rua,numero,bairro,cidade,estado,cep
1,Sítio Costa,1524,Vila Da Amizade,Macedo de Goiás,PA,16249-490
2,Feira de Teixeira,5407,Lourdes,Câmara,MA,33608-735
3,Praça de Caldeira,5546,Aarão Reis,Souza,SP,33154688
4,Alameda Bryan Ribeiro,3383,Silveira,Albuquerque da Serra,SE,70694150
5,Largo de Brito,8086,Lourdes,Sá das Flores,CE,93903-653
6,Estrada de Azevedo,3831,Marieta 2ª Seção,Campos,SE,29852907
7,Via Vitor Gabriel Barros,5101,Vila Paraíso,Mendes de Pacheco,BA,91683554
8,Recanto Vitor Hugo Cassiano,7765,São Geraldo,Costela,SE,26804240
9,Avenida Elisa Moraes,6614,Coração De Jesus,Andrade de Goiás,RS,35258-677
10,Pátio Yasmin da Paz,1337,Mirtes,Mendonça de da Rosa,RJ,84213610
11,Viaduto Matheus Pimenta,8272,São Marcos,Santos Verde,TO,55503468
12,Estação Pietro Pinto,3932,Vila Primeiro De Maio,Pires de da Cruz,RS,08239494
13,Largo Olivia Azevedo,8186,Vila Paraíso,Cassiano do Galho,MG,28092-095
14,Trevo de Cardoso,146,Itaipu,Guerra,MT,36255-180
15,Fazenda Ramos,4844,Juliana,Teixeira,MG,33840612
16,Praia de Novais,7410,Vila São João Batista,Vieira dos Dourados,MT,66527-796
17,Viaduto de Sales,140,Vila São Rafael,Porto de Ferreira,MT,93520002
18,Campo Vasconcelos,5862,Liberdade,Gomes,SP,66710-562
19,Residencial de Abreu,4112,Jardim América,Monteiro,PI,55546-545
20,Via de da Costa,256,Dom Bosco,Marques do Sul,MG,51753490
21,Chácara de da Luz,9855,Jardim Felicidade,Moura,PE,38185-769
22,Trevo Pietro Garcia,6007,Alto Barroca,da Cunha,SE,34781-202
23,Campo Igor Rios,2270,Embaúbas,Gomes,AP,86101258
24,Avenida Marques,4827,Glória,da Conceição do Sul,PA,68142677
25,Trecho de Melo,4610,Castanheira,Sales,SP,07402-994
26,Condomínio Cassiano,3901,Conjunto Capitão Eduardo,Caldeira,RN,81502-974
27,Estrada de Pereira,9305,Padre Eustáquio,Martins,MA,01786801
28,Ladeira de Souza,5654,Guaratã,Pacheco de Minas,AM,02781133
29,Travessa Martins,7155,Saudade,Pimenta,AM,56542-870
30,Recanto Rios,5211,Guarani,Farias,BA,09603-291
31,Vale de Sales,4824,Teixeira Dias,Borges,RO,69094016
32,Praça de Ramos,2552,Vila Sumaré,Costa,BA,35674-986
33,Alameda Siqueira,7264,Vila Rica,Araújo,AP,04632-666
34,Sítio de Pires,9098,Alípio De Melo,Montenegro do Galho,PI,56650736
35,Travessa Andrade,884,Jardim Montanhês,Alves,RR,46662824
36,Morro Kaique Casa Grande,9910,São Bento,Pimenta Verde,TO,60409-534
37,Quadra Guerra,1225,Vila Cemig,Moraes Paulista,PA,21196-289
38,Distrito de Vargas,5423,Rio Branco,Correia,SP,12674-090
39,Travessa Gonçalves,6417,Pongelupe,Cunha,RO,76075-919
40,Vale Noah Sampaio,322,Santa Cecilia,Brito,AP,37100-752
41,Lago Vinicius Vieira,3071,Providencia,da Rosa da Prata,PR,78485-637
42,Vale de Azevedo,2035,Bairro Das Indústrias Ii,Farias dos Dourados,DF,75465-542
43,Praça Léo da Luz,7629,Marieta 2ª Seção,Sales,MT,06806-128
44,Praia Porto,1545,Minas Brasil,Santos,PE,64323843
45,Passarela de Rodrigues,1926,Granja Werneck,da Luz do Campo,PB,57374-446
46,Vila de da Cruz,8851,Vale Do Jatoba,Azevedo,MT,12190-025
47,Largo Rios,8876,Xodo-Marize,Almeida,ES,76126787
48,Conjunto Eloah Siqueira,561,São Benedito,Ramos das Pedras,RR,00203983
49,Feira de Gonçalves,4638,Vila Jardim Leblon,Nunes do Oeste,AL,35394-352
50,Travessa Hellena Brito,5601,Calafate,Leão,PA,72662182
51,Alameda de Pires,9115,São Jorge 3ª Seção,Vieira de Barbosa,RR,66348881
52,Ladeira da Luz,5682,Sport Club,Machado de Silva,SE,79937053
53,Núcleo Azevedo,2089,Boa Esperança,Souza de da Luz,MT,37680332
54,Largo de Fernandes,4188,Embaúbas,Lima,PB,81293-440
55,Praia de Souza,1076,Grajaú,Barbosa,MA,63061-336
56,Vereda Maria Cecília Cassiano,5421,Ernesto Nascimento,Mendes das Flores,RO,24144531
57,Largo Lopes,8164,Novo Glória,Costa,MS,07598-184
58,Favela Peixoto,5541,Vila Santa Rosa,Novaes,PB,97362054
59,Passarela Ryan Ribeiro,4942,Palmeiras,Nunes,RR,97934-271
60,Trecho de Pacheco,9072,Horto Florestal,Casa Grande,PB,23904-576
61,Vale Nascimento,5576,São Gonçalo,Viana,PA,05261-748
62,Estrada Mirella Campos,5027,Embaúbas,Caldeira do Sul,PR,54424521
63,Lagoa Nathan Machado,6730,Vila Piratininga,Cardoso do Oeste,RR,41577-399
64,Vila Fonseca,2927,Conjunto Jardim Filadélfia,Novaes de Minas,MG,99053370
65,Esplanada de Sampaio,2174,Ápia,Rodrigues do Campo,PR,05990-394
66,Parque de Montenegro,2966,Jaraguá,Ferreira,GO,41719-768
67,Ladeira de Oliveira,7658,Mangueiras,Costela de Garcia,SC,86223569
68,Avenida Eloá Pimenta,3979,Vila Tirol,Moreira,PB,95266836
69,Feira de da Mata,313,Jardim São José,Moraes,RR,73128431
70,Vereda Leandro Rocha,4116,Vila Paraíso,Gonçalves do Sul,MG,00123917
71,Vila Caleb Brito,136,Flavio Marques Lisboa,Marques,MS,55382160
72,Esplanada Daniela Cirino,4335,Vila Jardim Leblon,Farias da Mata,DF,03540-992
73,Viela de Vasconcelos,3135,Vila Real 2ª Seção,da Rosa,RJ,75051-021
74,Viaduto de Jesus,7801,Bacurau,Porto,SC,89575427
75,Condomínio Noah da Mata,7987,Luxemburgo,Ferreira,MT,12225433
76,Fazenda de Rios,6918,Penha,Oliveira,AC,80144-097
77,Loteamento de Pimenta,3119,Marieta 3ª Seção,Araújo,RJ,07777064
78,Viaduto Azevedo,9784,Vila Real 1ª Seção,Novais de da Costa,RR,04006877
79,Trevo Juliana Dias,73,Taquaril,Vasconcelos da Prata,BA,60569-202
80,Morro Nascimento,1740,Marieta 2ª Seção,Castro de Fogaça,AC,50873262
81,Loteamento André Almeida,6184,Vila Nova Gameleira 2ª Seção,Ramos do Galho,MS,30182-711
82,Aeroporto Ester Teixeira,6933,Europa,Silveira Grande,PB,73709980
83,Vila Ana Beatriz Fonseca,9736,Vila União,Rodrigues,DF,32343552
84,Área da Paz,1475,Cabana Do Pai Tomás,Martins de Garcia,GO,45087287
85,Chácara da Rosa,1104,Delta,Ramos de Pastor,MT,57121164
86,Viaduto Manuella Câmara,2940,Fernão Dias,Viana de Moura,PE,21297694
87,Travessa de Lopes,9839,Vila Bandeirantes,Rezende,RS,40420894
88,Largo Santos,3565,Horto,Leão,GO,25536-790
89,Recanto de Vargas,361,Lagoinha Leblon,Silva da Praia,BA,90531-312
90,Estrada Ravy da Conceição,8216,Esplanada,da Mota,TO,99117-672
91,Feira Maria Julia Campos,4153,Pilar,Rocha,MG,97917-713
92,Loteamento da Cruz,9732,Jardim São José,Campos do Amparo,TO,51352-737
93,Lagoa de Santos,4393,Madri,Freitas,SC,01025099
94,Praia de Silva,753,Campo Alegre,Teixeira,PE,10168-046
95,Parque de Vieira,4990,Conjunto São Francisco De Assis,Lopes da Prata,MG,08805547
96,Área Casa Grande,8182,Santa Lúcia,Fogaça,RJ,71898-070
97,Alameda Lavínia Farias,7985,Tupi A,da Costa,RN,68020573
98,Estação Bruno Lima,4527,Conjunto Jatoba,da Paz de da Mota,PB,91744-370
99,Estação Macedo,4059,Vila Esplanada,Mendes,MT,26777-143
100,Praia Stephany Barros,9404,Novo Aarão Reis,Pastor,CE,90568433
101,Aeroporto de Guerra,4999,Eymard,Albuquerque,SP,40633-330
102,Condomínio Ana Júlia Câmara,4380,Alípio De Melo,Fogaça do Campo,PR,04689-465
103,Praia Souza,9784,Tres Marias,Costela,AM,60250412
